Date,Open,High,Low,Close,Volume
11/22/2024,"451.05","491.50","445.75","460.75","4,123,278"
11/21/2024,"441.00","494.50","430.85","476.15","4,949,099"
11/19/2024,"532.75","537.50","521.50","524.10","187,049"
11/18/2024,"554.05","557.50","525.20","526.60","570,533"
11/14/2024,"558.60","567.45","547.35","549.35","461,733"
11/13/2024,"558.05","598.00","541.50","547.55","633,607"
11/12/2024,"583.85","587.00","555.00","557.80","125,483"
11/11/2024,"583.90","587.20","578.00","578.85","102,354"
11/08/2024,"599.75","599.75","586.85","588.65","77,865"
11/07/2024,"618.80","618.80","597.00","599.60","220,906"
11/06/2024,"605.85","626.85","605.70","616.35","191,274"
11/05/2024,"583.85","607.50","581.00","603.35","109,040"
11/04/2024,"597.10","597.10","582.50","584.80","109,734"
11/01/2024,"595.50","599.60","592.15","596.95","99,770"
10/31/2024,"599.05","609.10","589.90","592.85","143,381"
10/30/2024,"594.00","599.50","584.45","591.45","133,805"
10/29/2024,"578.05","596.25","578.05","591.80","473,689"
10/28/2024,"585.65","607.00","572.60","599.00","538,821"
10/25/2024,"605.10","612.50","584.75","592.35","167,052"
10/24/2024,"587.05","612.00","586.00","604.60","217,697"
10/23/2024,"588.15","595.95","578.75","586.25","259,021"
10/22/2024,"603.05","607.75","584.05","587.80","438,141"
10/21/2024,"611.55","620.05","601.00","603.65","241,272"
10/18/2024,"609.85","613.95","595.00","611.45","312,002"
10/17/2024,"625.55","628.00","607.65","609.15","134,850"
10/16/2024,"632.95","635.75","621.85","625.55","120,855"
10/15/2024,"638.05","640.55","632.00","633.40","57,486"
10/14/2024,"642.00","645.65","631.25","634.35","106,995"
10/11/2024,"645.00","645.00","637.25","641.75","78,411"
10/10/2024,"642.75","648.00","631.05","645.00","124,479"
10/09/2024,"648.20","648.90","632.00","634.15","165,766"
10/08/2024,"625.30","646.10","613.75","640.65","218,275"
10/07/2024,"641.05","645.00","614.00","625.30","264,421"
10/04/2024,"635.05","647.80","635.00","642.00","395,310"
10/03/2024,"648.95","652.35","631.20","645.50","498,668"
10/01/2024,"653.25","660.60","651.80","653.40","103,359"
09/30/2024,"654.30","662.35","648.50","656.05","303,076"
09/27/2024,"664.20","674.00","647.00","654.30","308,349"
09/26/2024,"666.15","668.55","660.00","665.40","71,695"
09/25/2024,"668.05","676.80","660.70","667.30","272,607"
09/24/2024,"671.75","680.00","667.25","676.05","186,002"
09/23/2024,"665.30","674.50","661.00","671.75","226,592"
09/20/2024,"652.40","669.95","648.65","665.10","383,739"
09/19/2024,"656.95","658.25","637.05","649.80","197,030"
09/18/2024,"664.95","668.10","650.00","651.30","159,187"
09/17/2024,"666.00","673.95","652.30","666.20","549,851"
09/16/2024,"660.95","681.30","650.15","666.00","1,749,076"
09/13/2024,"647.65","647.65","630.45","633.55","447,056"
09/12/2024,"635.70","654.60","623.25","651.35","364,898"
09/11/2024,"637.00","640.00","625.00","626.80","282,047"
09/10/2024,"641.35","645.95","633.75","637.20","384,607"
09/09/2024,"638.70","644.75","621.20","635.50","759,378"
09/06/2024,"644.95","648.00","631.35","635.05","407,922"
09/05/2024,"651.75","655.75","640.95","643.90","144,552"
09/04/2024,"655.95","659.00","649.15","650.70","170,945"
09/03/2024,"670.00","672.00","656.40","658.55","408,884"
09/02/2024,"639.65","684.90","628.00","670.45","1,007,718"
08/30/2024,"646.65","649.95","629.30","631.95","196,552"
08/29/2024,"641.40","649.65","629.00","644.15","318,301"
08/28/2024,"658.25","658.70","638.60","641.45","504,932"
08/27/2024,"665.00","671.75","651.60","654.15","191,153"
08/26/2024,"675.80","678.85","660.00","661.40","545,933"
08/23/2024,"685.50","689.00","674.00","675.85","482,117"
08/22/2024,"692.05","697.95","671.05","673.85","192,081"
08/21/2024,"690.65","701.00","690.65","694.95","170,436"
08/20/2024,"699.00","701.95","692.10","694.80","163,605"
08/19/2024,"699.00","706.50","693.25","696.65","246,017"
08/16/2024,"683.75","700.70","671.30","697.30","267,482"
08/14/2024,"688.25","690.00","671.40","673.95","263,981"
08/13/2024,"691.25","702.60","686.00","689.15","355,325"
08/12/2024,"660.05","695.10","619.00","690.55","1,618,357"
08/09/2024,"698.45","703.25","692.00","695.10","197,045"
08/08/2024,"694.80","700.00","686.10","691.05","180,082"
08/07/2024,"700.00","703.40","688.25","690.90","199,804"
08/06/2024,"692.15","706.95","682.50","687.25","408,071"
08/05/2024,"685.20","719.50","685.20","690.80","1,336,154"
08/02/2024,"729.75","740.50","721.00","726.40","319,628"
08/01/2024,"719.50","752.15","715.30","737.75","2,012,101"
07/31/2024,"734.70","748.85","713.00","734.50","534,650"
07/30/2024,"721.35","734.90","717.00","729.15","779,342"
07/29/2024,"719.70","724.85","715.10","716.75","563,074"
07/26/2024,"704.95","727.90","699.40","713.05","409,785"
07/25/2024,"692.05","709.20","686.15","694.90","440,053"
07/24/2024,"697.00","709.25","692.95","694.75","190,677"
07/23/2024,"704.00","728.70","646.25","696.95","1,537,266"
07/22/2024,"693.75","710.00","682.50","696.15","212,275"
07/19/2024,"700.00","702.45","690.00","694.25","171,238"
07/18/2024,"714.40","714.40","696.35","699.35","213,725"
07/16/2024,"710.05","731.00","709.00","712.15","503,845"
07/15/2024,"714.55","714.55","705.25","708.70","397,707"
07/12/2024,"722.00","726.00","708.00","710.05","452,733"
07/11/2024,"730.75","732.20","716.00","721.20","176,101"
07/10/2024,"734.00","737.85","714.20","727.35","910,262"
07/09/2024,"697.05","745.00","696.00","725.35","5,943,408"
07/08/2024,"707.15","712.00","693.05","697.95","241,030"
07/05/2024,"710.95","714.70","706.75","708.85","484,714"
07/04/2024,"715.35","718.50","710.50","712.30","141,404"
07/03/2024,"711.55","721.85","711.15","715.00","391,273"
07/02/2024,"716.05","733.00","708.45","710.80","739,608"
07/01/2024,"718.60","722.75","712.70","717.80","146,911"
06/28/2024,"717.95","728.00","715.05","718.20","200,771"
06/27/2024,"720.75","728.00","710.15","715.30","365,709"
06/26/2024,"725.00","730.00","719.00","720.00","307,383"
06/25/2024,"738.05","744.30","724.00","725.55","129,773"
06/24/2024,"729.75","745.00","720.15","737.95","166,841"
06/21/2024,"742.05","744.00","730.00","733.45","126,106"
06/20/2024,"743.95","746.95","735.00","742.00","153,011"
06/19/2024,"749.15","750.00","720.00","738.00","343,289"
06/18/2024,"753.90","758.00","741.95","747.80","534,429"
06/14/2024,"754.05","760.00","745.30","746.90","581,914"
06/13/2024,"763.65","769.75","750.20","753.85","232,509"
06/12/2024,"766.00","768.00","754.55","761.85","257,516"
06/11/2024,"775.10","779.95","760.00","762.75","659,456"
06/10/2024,"788.95","810.55","766.85","769.85","1,184,838"
06/07/2024,"746.90","772.20","733.40","767.25","551,434"
06/06/2024,"749.00","790.00","743.70","749.20","1,166,631"
06/05/2024,"738.35","778.50","638.90","726.15","7,259,175"
06/04/2024,"875.95","875.95","700.00","723.85","11,062,790"
06/03/2024,"875.00","896.75","825.75","875.00","5,373,659"
05/31/2024,"708.80","797.55","704.75","756.65","1,989,581"
05/30/2024,"679.55","709.00","675.75","698.20","1,023,631"
