Date,Open,High,Low,Close,Volume
01/29/2025,"1,838.55","1,888.00","1,838.55","1,880.85","220,194"
01/28/2025,"1,822.30","1,863.00","1,822.30","1,829.15","366,784"
01/27/2025,"1,850.00","1,862.45","1,812.90","1,822.10","93,143"
01/24/2025,"1,865.00","1,894.85","1,864.80","1,875.15","273,838"
01/23/2025,"1,856.45","1,879.50","1,850.65","1,864.80","135,461"
01/22/2025,"1,806.10","1,865.40","1,806.10","1,856.60","142,272"
01/21/2025,"1,820.00","1,831.85","1,792.45","1,799.80","504,737"
01/20/2025,"1,822.40","1,831.60","1,793.20","1,813.25","54,311"
01/17/2025,"1,869.95","1,869.95","1,812.70","1,815.10","256,183"
01/16/2025,"1,962.40","1,967.75","1,917.75","1,926.20","113,338"
01/15/2025,"1,951.95","1,957.90","1,938.00","1,949.80","40,167"
01/14/2025,"1,960.05","1,972.00","1,931.25","1,939.30","215,561"
01/13/2025,"1,950.05","1,982.55","1,948.75","1,961.80","140,309"
01/10/2025,"1,931.55","1,977.00","1,931.55","1,966.70","320,367"
01/09/2025,"1,941.85","1,952.00","1,909.85","1,917.80","272,548"
01/08/2025,"1,922.05","1,938.95","1,888.30","1,933.15","201,177"
01/07/2025,"1,938.45","1,959.40","1,924.40","1,932.55","244,697"
01/06/2025,"1,954.65","1,972.95","1,927.85","1,937.85","189,323"
01/03/2025,"1,957.45","1,957.45","1,922.20","1,938.30","205,298"
01/02/2025,"1,890.00","1,962.05","1,885.00","1,957.65","232,274"
01/01/2025,"1,879.95","1,892.10","1,875.00","1,882.65","180,770"
12/31/2024,"1,895.00","1,895.30","1,845.70","1,880.70","49,186"
12/30/2024,"1,916.00","1,916.00","1,886.45","1,905.70","232,307"
12/27/2024,"1,915.95","1,924.00","1,904.00","1,916.55","299,022"
12/26/2024,"1,906.00","1,920.90","1,902.50","1,906.20","294,282"
12/24/2024,"1,924.15","1,941.75","1,900.25","1,909.30","225,966"
12/23/2024,"1,927.15","1,940.45","1,909.25","1,923.85","65,647"
12/20/2024,"1,972.00","1,981.65","1,911.25","1,922.05","251,755"
12/19/2024,"1,939.35","1,959.00","1,921.00","1,948.15","75,296"
12/18/2024,"1,965.05","1,984.45","1,962.15","1,978.90","91,783"
12/17/2024,"1,970.00","1,980.55","1,959.00","1,976.65","38,762"
12/16/2024,"1,990.30","1,999.25","1,977.40","1,979.65","73,924"
12/13/2024,"1,969.60","2,006.80","1,946.45","1,999.85","182,861"
12/12/2024,"1,975.00","1,998.65","1,973.00","1,986.75","109,677"
12/11/2024,"1,952.55","1,977.55","1,947.35","1,968.70","208,326"
12/10/2024,"1,930.00","1,965.00","1,930.00","1,948.70","192,342"
12/09/2024,"1,922.70","1,930.90","1,897.50","1,925.30","122,141"
12/06/2024,"1,929.80","1,936.10","1,913.00","1,923.20","125,863"
12/05/2024,"1,900.50","1,949.00","1,889.25","1,934.35","235,468"
12/04/2024,"1,886.95","1,912.90","1,874.10","1,890.30","60,195"
12/03/2024,"1,880.50","1,899.00","1,872.00","1,891.40","68,682"
12/02/2024,"1,850.10","1,882.00","1,836.00","1,879.20","144,317"
11/29/2024,"1,855.35","1,876.75","1,845.65","1,858.45","210,152"
11/28/2024,"1,918.95","1,918.95","1,852.55","1,857.45","122,450"
11/27/2024,"1,939.95","1,940.65","1,912.50","1,924.10","53,515"
11/26/2024,"1,901.45","1,938.70","1,899.15","1,921.85","101,596"
11/25/2024,"1,910.50","1,919.00","1,882.20","1,889.15","181,895"
11/22/2024,"1,849.35","1,913.90","1,834.25","1,902.95","383,445"
11/21/2024,"1,839.95","1,866.60","1,820.50","1,834.20","134,583"
11/19/2024,"1,822.05","1,860.00","1,822.05","1,825.55","92,671"
11/18/2024,"1,863.95","1,863.95","1,795.75","1,811.40","131,100"
11/14/2024,"1,869.65","1,876.05","1,856.45","1,864.00","216,343"
11/13/2024,"1,865.95","1,873.45","1,857.00","1,868.30","60,793"
11/12/2024,"1,863.00","1,881.25","1,861.10","1,867.95","73,031"
11/11/2024,"1,820.55","1,867.80","1,820.55","1,860.00","173,854"
11/08/2024,"1,815.95","1,840.00","1,813.10","1,831.05","152,794"
11/07/2024,"1,819.85","1,825.10","1,786.65","1,802.65","108,778"
11/06/2024,"1,765.00","1,827.00","1,763.50","1,824.30","2,491,228"
11/05/2024,"1,763.75","1,768.25","1,745.10","1,753.80","87,084"
11/04/2024,"1,728.95","1,768.25","1,718.50","1,764.90","183,170"
11/01/2024,"1,763.00","1,766.30","1,754.40","1,761.60","16,395"
10/31/2024,"1,797.00","1,797.00","1,747.20","1,757.15","272,382"
10/30/2024,"1,834.95","1,839.85","1,797.00","1,801.75","79,714"
10/29/2024,"1,847.00","1,851.60","1,828.90","1,838.75","83,833"
10/28/2024,"1,855.05","1,881.10","1,855.05","1,866.25","176,878"
10/25/2024,"1,868.75","1,876.00","1,845.65","1,853.25","298,913"
10/24/2024,"1,872.05","1,883.70","1,860.10","1,864.40","66,000"
10/23/2024,"1,842.35","1,885.50","1,842.35","1,872.85","115,059"
10/22/2024,"1,846.05","1,877.70","1,846.05","1,850.95","67,574"
10/21/2024,"1,899.40","1,899.40","1,838.10","1,852.50","156,295"
10/18/2024,"1,905.00","1,936.80","1,870.00","1,878.85","532,991"
10/17/2024,"1,930.00","1,978.00","1,930.00","1,969.50","265,093"
10/16/2024,"1,958.95","1,960.10","1,916.30","1,919.90","65,346"
10/15/2024,"1,964.95","1,990.90","1,952.00","1,959.10","218,415"
10/14/2024,"1,934.95","1,970.00","1,933.75","1,958.70","78,170"
10/11/2024,"1,918.05","1,946.90","1,909.90","1,935.00","219,738"
10/10/2024,"1,969.90","1,969.90","1,914.25","1,919.05","133,629"
10/09/2024,"1,951.70","1,976.90","1,945.50","1,953.90","127,209"
10/08/2024,"1,934.75","1,957.75","1,906.90","1,948.50","303,314"
10/07/2024,"1,922.05","1,942.25","1,915.60","1,933.75","367,272"
10/04/2024,"1,888.65","1,954.10","1,888.65","1,918.35","537,361"
10/03/2024,"1,886.15","1,911.95","1,881.10","1,893.10","185,365"
10/01/2024,"1,876.00","1,909.00","1,875.00","1,904.15","283,922"
09/30/2024,"1,884.95","1,900.00","1,870.00","1,876.00","110,696"
09/27/2024,"1,930.00","1,974.65","1,903.30","1,907.20","262,993"
09/26/2024,"1,890.35","1,917.35","1,890.35","1,899.35","129,294"
09/25/2024,"1,893.45","1,901.00","1,877.40","1,896.00","68,854"
09/24/2024,"1,885.00","1,910.00","1,871.05","1,897.80","114,447"
09/23/2024,"1,908.55","1,918.00","1,879.00","1,897.00","173,160"
09/20/2024,"1,911.25","1,915.00","1,866.95","1,906.10","898,237"
09/19/2024,"1,918.50","1,924.20","1,878.25","1,894.15","260,296"
09/18/2024,"1,940.00","1,940.00","1,882.00","1,892.35","269,091"
09/17/2024,"1,949.75","1,958.20","1,942.45","1,952.65","70,650"
09/16/2024,"1,940.25","1,952.00","1,932.45","1,949.75","123,161"
09/13/2024,"1,950.35","1,958.70","1,935.45","1,944.30","300,090"
09/12/2024,"1,921.25","1,956.00","1,910.80","1,950.35","211,482"
09/11/2024,"1,913.00","1,926.00","1,904.85","1,910.80","165,928"
09/10/2024,"1,905.00","1,935.00","1,896.60","1,912.90","162,880"
09/09/2024,"1,885.05","1,920.50","1,885.05","1,894.70","221,300"
